Gemeinden in Deutschland nach Fläche und Bevölkerung am 31.12.1990 (Jahr) zum Gebietsstand 01.01.1991 ;;;;;;;;;;;;
;;;;;;;;;;;;
Satz-art;;Gemeindeschlüssel;;;;;Gemeindename;Fläche in km2;Bevölkerung;;;
;;Land;RB;Kreis;;Gem;;;insgesamt;männlich;weiblich;je km2
;;Gebietsstand am 01.01.1991;;;;;;am 31.12.1990 (Jahr);;;;
;;;;;;;;;;;;
60;;1;0;54;;136;Tinningstedt;8,91;204;104;100;23
60;;1;0;54;;138;Tönning, Stadt;43,14; 4 957; 2 383; 2 574;115
60;;1;0;54;;140;Tümlauer Koog;6,2;123;65;58;20
60;;1;0;54;;141;Uelvesbüll;10,23;296;150;146;29
60;;1;0;54;;142;Uphusum;7,06;367;183;184;52
60;;1;0;54;;143;Utersum;5,29;430;201;229;81
60;;1;0;54;;144;Viöl;18,95; 1 183;595;588;62
60;;1;0;54;;145;Vollerwiek;4,63;196;110;86;42
60;;1;0;54;;146;Vollstedt;6,18;119;64;55;19
60;;1;0;54;;148;Welt;8,18;203;112;91;25
60;;1;0;54;;149;Wenningstedt (Sylt);6,36; 1 576;725;851;248
60;;1;0;54;;150;Westerhever;12,93;126;62;64;10
60;;1;0;54;;151;Westerland, Stadt;10,46; 9 458; 4 352; 5 106;904
60;;1;0;54;;152;Wester-Ohrstedt;18,54;935;473;462;50
60;;1;0;54;;154;Westre;19,13;382;194;188;20
60;;1;0;54;;156;Winnert;18,87;634;330;304;34
60;;1;0;54;;157;Wisch;3,05;107;46;61;35
60;;1;0;54;;158;Witsum;1,59;55;24;31;35
60;;1;0;54;;159;Wittbek;19,91;724;371;353;36
60;;1;0;54;;160;Wittdün;2,57;661;306;355;257
60;;1;0;54;;161;Witzwort;28,14;882;431;451;31
60;;1;0;54;;162;Wobbenbüll;1,69;434;217;217;257
60;;1;0;54;;163;Wrixum;7,55;501;238;263;66
60;;1;0;54;;164;Wyk auf Föhr, Stadt;8; 4 433; 1 978; 2 455;554
60;;1;0;54;;165;Galmsbüll;49,05;660;337;323;13
60;;1;0;54;;166;Emmelsbüll-Horsbüll;35,37; 1 066;540;526;30
60;;1;0;54;;167;Enge-Sande;24,82; 1 043;535;508;42
40;;1;0;55;;;Ostholstein;;;;;
60;;1;0;55;;1;Ahrensbök;95,38; 7 192; 3 502; 3 690;75
60;;1;0;55;;2;Altenkrempe;36,64; 1 053;536;517;29
60;;1;0;55;;4;Bad Schwartau, Stadt;18,4; 20 224; 9 540; 10 684;1 099
60;;1;0;55;;5;Bannesdorf auf Fehmarn;60,28; 2 249; 1 117; 1 132;37
60;;1;0;55;;6;Beschendorf;8,54;498;243;255;58
60;;1;0;55;;7;Bosau;64,25; 3 003; 1 554; 1 449;47
60;;1;0;55;;8;Burg auf Fehmarn, Stadt;14,48; 5 629; 2 649; 2 980;389
60;;1;0;55;;10;Dahme;9,08; 1 167;540;627;129
60;;1;0;55;;11;Damlos;9,35;516;260;256;55
60;;1;0;55;;12;Eutin, Stadt;41,4; 16 784; 7 634; 9 150;405
60;;1;0;55;;14;Göhl;21,19;865;428;437;41
60;;1;0;55;;15;Gremersdorf;45,79; 1 401;725;676;31
60;;1;0;55;;16;Grömitz;50,98; 6 903; 3 263; 3 640;135
60;;1;0;55;;17;Großenbrode;21,05; 1 852;929;923;88
60;;1;0;55;;18;Grube;20,19;956;484;472;47
60;;1;0;55;;20;Harmsdorf;17,82;695;353;342;39
60;;1;0;55;;21;Heiligenhafen, Stadt;18,2; 8 938; 4 287; 4 651;491
60;;1;0;55;;22;Heringsdorf;29,42; 1 018;521;497;35
60;;1;0;55;;23;Kabelhorst;5,74;421;228;193;73
60;;1;0;55;;24;Kasseedorf;33,77; 1 290;669;621;38
60;;1;0;55;;25;Kellenhusen (Ostsee);8,23; 1 023;485;538;124
